"EPA Registration Number","Active Ingredient(s)","Product Name","Company","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Why is this product on List N?","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following pathogen(s)","Date Added to List N"
"10492-5","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Discide Ultra Disinfecting Spray","Palmero Healthcare LLC","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"46781-6","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Cavicide","Metrex Research","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"63761-5","Quaternary ammonium; Sodium carbonate peroxyhydrate","Sterilex Ultra Powder","Sterilex","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"63761-10","Quaternary ammonium; Sodium carbonate peroxyhydrate","Sterilex Ultra Step","Sterilex","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Rotavirus","03/03/2020"
"84545-4","Silver","Peradox HC Solution Part A","Sbiomed LLC","15","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"72977-5","Silver ion; Citric acid","Sdc3a","ETI H2O Inc","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus; Norovirus","06/24/2020"
"72977-3","Silver ion; Citric acid","Axen® 30","ETI H2O Inc","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","05/07/2020"
"10772-25","Sodium carbonate peroxyhydrate; Tetraacetyl ethylenediamine","Oxiclean Laundry and Home Sanitizer","Church & Dwight Company Inc","See label depending on the application","Dilutable","Hard Nonporous (HN); Food Contact Post; Porous (P) (laundry)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","07/29/2020"
"93040-1","Sodium chloride","Force of Nature Activator Capsule","HCl Cleaning Products LLC","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/26/2020"
"8714-8","Sodium chlorite","Clidox-S® Base","Pharmacal Research Laboratories Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"69151-1","Sodium chlorite","Parox Hospital Disinfectant","Paroxmed LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium tuberculosis","07/23/2020"
"74986-4","Sodium chlorite","Selectrocide 2L500","Selective Micro Technologies LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","05/21/2020"
"87508-3","Sodium chlorite","Performacide","Odorstart LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","04/30/2020"
"91399-2","Sodium chlorite","Biotab7","Advanced Biocide Technologies Inc","1","Dilutable","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Norovirus","03/26/2020"
"1677-216","Sodium chlorite","Exspor Base Concentration","Ecolab Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"74986-5","Sodium chlorite","Selectrocide 5g","Selective Micro Technologies LLC","10","Solid","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"92987-1","Sodium chlorite; Citric acid","Tristel Duo for Surfaces","Tristel Solutions LTD","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus; Feline calicivirus; Poliovirus","03/26/2020"
"70060-19","Sodium chlorite; Sodium dichloroisocyanurate dihydrate","Aseptrol S10-Tab","BASF Corporation","10","Solid","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/26/2020"
"69470-37","Sodium dichloroisocyanurate","Clearon Bleach Tablets","Clearon Corporation","10","Solid","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","05/14/2020"
"66570-2","Sodium dichloroisocyanurate","EfferSan™","Activon Inc","5","Solid","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/23/2020"
"1677-255","Sodium dichloroisocyanurate","XHC-S","Ecolab Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","04/23/2020"
"71847-2","Sodium dichloroisocyanurate","Klor-Kleen","Medentech LTD","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"71847-6","Sodium dichloroisocyanurate","Klorsept","Medentech LTD","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus; Coxsackievirus B3","03/03/2020"
"71847-7","Sodium dichloroisocyanurate","Klorkleen","Medentech LTD","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus; Coxsackievirus B3","03/03/2020"
"5813-1","Sodium hypochlorite","Clorox Bleach","The Clorox Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"5813-20","Sodium hypochlorite","Fresh Scent Clorox","The Clorox Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"65787-1","Sodium hypochlorite","Amuchina","Angelini Pharma Inc","25","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Tuberculocidal","07/23/2020"
"67619-1","Sodium hypochlorite","CPPC Bleach","Clorox Professional Products Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"68959-11","Sodium hypochlorite","HYPO-CHLOR Neutral 0.25%","Veltek Associates Inc","5","Ready-to-use","Hard Nonporous (HN)","Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus Type 5; Poliovirus","06/17/2020"
"5813-122","Sodium hypochlorite","Clorox Splash-Less Bleach1","The Clorox Company","6","Dilutable","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","05/21/2020"
"5813-124","Sodium hypochlorite","Clorox Bleach Blanqueador","The Clorox Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Feline parvovirus","05/21/2020"
"1672-65","Sodium hypochlorite","Austin A-1 Ultra Disinfecting Bleach","James Austin Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus","05/21/2020"
"70627-75","Sodium hypochlorite","Avert Sporicidal Disinfectant Cleaner Wipes","Diversey Inc","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","05/21/2020"
"5813-121","Sodium hypochlorite","CRB I","The Clorox Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Feline parvovirus; Feline panleukopenia virus","05/14/2020"
"5813-76","Sodium hypochlorite","Clorox MTOC","The Clorox Company","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","05/14/2020"
"64240-44","Sodium hypochlorite","Soft Scrub with Bleach","Combat Insect Control Systems","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","05/07/2020"
"10897-108","Sodium hypochlorite","Hasa Bleach 6%","Hasa Inc","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/30/2020"
"88049-2","Sodium hypochlorite","2.2% Sodium Hypochlorite Solution","Ameriplus Inc","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/30/2020"
"4822-617","Sodium hypochlorite","Scrubbing Bubbles® Bubbly Bleach Gel Toilet Bowl Disinfectant","S.C. Johnson & Son Inc","10","Ready-to-use","Hard Nonporous (HN)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","04/23/2020"
"70271-15","Sodium hypochlorite","2% Sodium Hypochlorite Spray","KIK International Inc","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/23/2020"
"1677-254","Sodium hypochlorite","XHC-E","Ecolab Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","04/16/2020"
"3573-77","Sodium hypochlorite","CSP-3002-3","The Proctor & Gamble Company","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Poliovirus","04/16/2020"
"5741-28","Sodium hypochlorite","Tulmult","Spartan Chemical Company Inc","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Norovirus","04/16/2020"
"58232-2","Sodium hypochlorite","Sodium Hypochlorite 8.25%","Hasa Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/09/2020"
"56392-8","Sodium hypochlorite","Dispatch","Clorox Professional Products Company","1","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","03/26/2020"
"67619-40","Sodium hypochlorite","Clorox Healthcare Spore10 Defense Cleaner Disinfectant","Clorox Professional Products Company","1","Ready-to-use; Electrostatic spray (Clorox® Total 360® system)","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Murine norovirus","03/26/2020"
"70271-13","Sodium hypochlorite","Pure Bright Germicidal Ultra Bleach","KIK International LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus; Rotavirus; Canine parvovirus; Feline panleukopenia virus; Hepatitis A virus; Norovirus; Poliovirus; Rhinovirus","03/26/2020"
"70271-31","Sodium hypochlorite","Nova","KIK International LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","03/26/2020"
"11346-3","Sodium hypochlorite","Clorox HW","The Clorox Company","1","Wipe","Hard Nonporous (HN)","Healthcare; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"11346-6","Sodium hypochlorite","Clorox HS","The Clorox Company","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"70271-24","Sodium hypochlorite","Tecumseh B","KIK International LLC","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"70590-1","Sodium hypochlorite","Hype-Wipe","Current Technologies Inc","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"777-102","Sodium hypochlorite","Lysol® Brand Toilet Bowl Cleaner with Bleach","Reckitt Benckiser LLC","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Rhinovirus","03/26/2020"
"5813-120","Sodium hypochlorite","CRB","The Clorox Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","03/19/2020"
"87518-6","Sodium hypochlorite","Sporex","HSP USA LLC","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Canine parvovirus","03/19/2020"
"9480-8","Sodium hypochlorite","Sani-Cloth Bleach Germicidal Disposable Wipe","Professional Disposables International Inc","1","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus; Rotavirus; Canine parvovirus; Hepatitis A virus; Poliovirus Type 1; Rhinovirus Type 37; Feline calicivirus","03/19/2020"
"1672-67","Sodium hypochlorite","Austin's A-1 Concentrated Bleach 8.25%","James Austin Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1677-241","Sodium hypochlorite","Hydris","Ecolab Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"56392-10","Sodium hypochlorite","Caltech Swat 200 9B","Clorox Professional Products Company","2","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"5813-103","Sodium hypochlorite","CGB3","The Clorox Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"5813-104","Sodium hypochlorite","CGB4","The Clorox Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"5813-106","Sodium hypochlorite","Axl","The Clorox Company","1","Ready-to-use","Hard Nonporous (HN)","Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"5813-50","Sodium hypochlorite","Ultra Clorox Brand Regular Bleach","The Clorox Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"5813-98","Sodium hypochlorite","Lite","The Clorox Company","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"5813-99","Sodium hypochlorite","Wave","The Clorox Company","1","Wipe","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"67619-11","Sodium hypochlorite","CPPC Shower","Clorox Professional Products Company","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"67619-13","Sodium hypochlorite","CPPC Storm","Clorox Professional Products Company","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"67619-27","Sodium hypochlorite","Buster","Clorox Professional Products Company","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"67619-28","Sodium hypochlorite","Milo","Clorox Professional Products Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"67619-8","Sodium hypochlorite","CPPC Ultra Bleach 2","Clorox Professional Products Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"70590-2","Sodium hypochlorite","Bleach-rite Disinfecting Spray With Bleach","Current Technologies Inc","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"37549-1","Sodium hypochlorite","Micro-kill Bleach Germicidal Bleach Wipes","Medline Industries Inc","0.5 (30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/13/2020"
"37549-2","Sodium hypochlorite","Micro-kill Bleach Solution","Medline Industries Inc","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/13/2020"
"46781-14","Sodium hypochlorite","Caviwipes Bleach","Metrex Research","3","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/13/2020"
"46781-15","Sodium hypochlorite","Cavicide Bleach","Metrex Research","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus; Rhinovirus","03/13/2020"
"5813-100","Sodium hypochlorite","Puma","The Clorox Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","03/13/2020"
"5813-102","Sodium hypochlorite","CGB1","The Clorox Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","03/13/2020"
"67619-26","Sodium hypochlorite","Boris","Clorox Professional Products Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus","03/13/2020"
"1677-235","Sodium hypochlorite","Bleach Disinfectant Cleaner","Ecolab Inc","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Murine norovirus; Poliovirus; Rhinovirus","03/03/2020"
"777-83","Sodium hypochlorite","Lysol® Brand Bleach Mold And Mildew Remover","Reckitt Benckiser LLC","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus; Norovirus","03/03/2020"
"56392-7","Sodium hypochlorite","Clorox Healthcare® Bleach Germicidal Cleaner Spray","Clorox Professional Products Company","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Feline panleukopenia virus; Hepatitis A virus; Norovirus; Poliovirus; Rhinovirus","03/03/2020"
"5813-105","Sodium hypochlorite","Clorox Multi Surface Cleaner + Bleach","The Clorox Company","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus; Canine parvovirus; Feline panleukopenia virus; Norovirus; Poliovirus","03/03/2020"
"5813-111","Sodium hypochlorite","Clorox Disinfecting Bleach2","The Clorox Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Feline parvovirus","03/03/2020"
"5813-114","Sodium hypochlorite","Clorox Performance Bleach1","The Clorox Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Feline parvovirus","03/03/2020"
"5813-21","Sodium hypochlorite","Clorox Clean Up Cleaner + Bleach","The Clorox Company","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Poliovirus","03/03/2020"
"5813-89","Sodium hypochlorite","Clorox Toilet Bowl Cleaner with Bleach","The Clorox Company","10","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus; Rotavirus","03/03/2020"
"67619-12","Sodium hypochlorite","Clorox Healthcare® Bleach Germicidal Wipes","Clorox Professional Products Company","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Feline parvovirus","03/03/2020"
"67619-16","Sodium hypochlorite","Clorox Commercial Solutions® Toilet Bowl Cleaner with Bleach1","Clorox Professional Products Company","10","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Rhinovirus 39","03/03/2020"
"67619-17","Sodium hypochlorite","Clorox Commercial Solutions® Clorox® Clean-Up Disinfectant Cleaner with Bleach1","Clorox Professional Products Company","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/03/2020"
"67619-30","Sodium hypochlorite","GNR","Clorox Professional Products Company","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Coxsackievirus; Feline calicivirus; Feline panleukopenia virus; Minute virus of mice; Poliovirus; Rhinovirus Type 37","03/03/2020"
"67619-32","Sodium hypochlorite","CloroxPro™ Clorox® Germicidal Bleach","Clorox Professional Products Company","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Coxsackievirus B3; Enterovirus D68; Norovirus; Feline parvovirus; Hepatitis A virus; Murine norovirus; Poliovirus; Rhinovirus","03/03/2020"
"70627-72","Sodium hypochlorite","Avert Sporicidal Disinfectant Cleaner","Diversey Inc","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Canine parvovirus; Norovirus; Hepatitis A virus; Poliovirus Type 1","03/03/2020"
"4091-23","Sodium hypochlorite; Sodium carbonate","Mold Armor Formula 400","W.M. Barr & Company Inc","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1043-125","Tetraacetyl ethylenediamine","HASTe-SSD-Component A","Steris Corporation","1","Dilutable","Hard Nonporous (HN)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
"84683-1","Thymol","Benefect Broad Spectrum Disinfectant","Cleanwell LLC","5","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Mycobacterium bovis","07/23/2020"
